galaxy,coef_a,coef_b,coef_c
ngc5068,5.172827383782957e-06,0.4812024256930955,0.235610572094725
ic5332,7.489674003442678e-12,0.9685606139922529,0.4619945875511841
ngc628,1.5958529655405455e-09,0.7901185962145459,0.3418517590411808
ngc3351,7.31068141122755e-11,0.8992159275720369,0.4285885037243625
ngc3627,9.51118842312033e-07,0.5725067478218274,0.12298893584257355
ngc2835,1.0212978563458903e-09,0.8099814855957722,0.411170444325959
ngc4254,3.295938714328226e-09,0.7709452386275901,0.3136875350208045
ngc4321,1.5237728796098807e-07,0.6377250893744193,0.18255721074827705
ngc4535,8.359032809093153e-11,0.8987617792376542,0.4838443339705606
ngc1087,5.833489875867365e-09,0.7529665797002429,0.3585254194299172
ngc4303,6.09180961772901e-08,0.6670495620916179,0.27588505403112534
ngc1385,5.221867622139546e-11,0.9234597691835115,0.4479071278316046
ngc1566,2.0346391588180246e-08,0.7178750208264594,0.368659899416686
ngc1433,1.1438684191979532e-11,0.9565652015092535,0.42245881608915586
ngc7496,1.1640579494528794e-09,0.8187406871034542,0.3717776052831481
ngc1512,3.655111275346803e-14,1.1770075063893644,0.4481866616686579
ngc1300,9.351491782605925e-14,1.135114622095019,0.5083770643284807
ngc1672,9.101012012513673e-10,0.8129875592331005,0.4310222169181575
ngc1365,1.8593565455159613e-07,0.6396675405650025,0.259719677661768
